Component,Subcomponent,Setting/Origin,Geoform,Geoform Type,Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Geoform Component,Tectonic Setting,Tectonic Trench,,,CMECS Geoform Subcomponent: Setting ,"A narrow, elongate depression of the deep seafloor associated with a subduction zone. These can be oriented parallel to a volcanic arc and are commonly aligned with the edge of the adjacent continent, between the continental margin and the abyssal hills. Trenches are commonly greater than 2 kilometers deeper than the surrounding ocean floor, and they may be thousands of kilometers long.",,1.1.2,G,t9,https://w3id.org/CMECS/CMECS_00000818,CMECS_00000818,Original Unit,,,
Geoform Component,Physiographic Setting,,,,CMECS Geoform Subcomponent,"Spatially nested within the tectonic settings, physiographic settings describe landscape-level geomorphological features from the coast to mid-ocean spreading centers. These large features—generally on the scale of hundreds of square kilometers—can cross tectonic settings, and they can be delineated at a scale of 1:1,000,000 (or greater) using bathymetric maps and other remote sensing data. Each setting will normally contain a wide variety of the smaller geoform features.",,1.1.2,G,p,https://w3id.org/CMECS/CMECS_00000641,CMECS_00000641,Original Unit,,,
Geoform Component,Physiographic Setting,Abyssal/Submarine Fan,,,CMECS Geoform Subcomponent: Setting ,"A low, outspread, relatively flat-to-gently sloping mass of loose material- shaped like an open fan or a segment of a cone- deposited by a flow of water at the place where it issues from a narrower or steeper-gradient area into a broader area, valley, flat, or other feature. Abyssal fans form at the mouths of submarine canyons, and fans are also the result of turbidities (that is, gravity-driven, underwater avalanches).",,1.1.2,G,p1,https://w3id.org/CMECS/CMECS_00001333,CMECS_00001333,Original Unit,,,
Geoform Component,Physiographic Setting,Barrier Reef,,,CMECS Geoform Subcomponent: Setting ,"A long, narrow coral reef, roughly parallel to the shore and separated from it by a lagoon of considerable depth and width. This reef may enclose a volcanic island (either wholly or in part), or it may lie a great distance from a continental coast (such as the Great Barrier Reef). Generally, barrier reefs follow the coasts for long distances- often with short interruptions that are called passes or channels. Three principle examples of this type of feature are Australia's Great Barrier Reef, the New Caledonia Barrier Reef, and the Meso-American Barrier Reef system- although similar features exist elsewhere.",,1.1.2,G,p2,https://w3id.org/CMECS/CMECS_00000083,CMECS_00000083,Original Unit,,,
Geoform Component,Physiographic Setting,Bight,,,CMECS Geoform Subcomponent: Setting ,"A broad bend or curve in a generally open coast. Examples include the South Atlantic Bight and the Southern California Bight. These are distinguished from Embayment/Bays by the shallower angle between the apex of the bight and the adjacent coasts, although the term Bay has been used to name these features (e.g., Bay of Campeche).",,1.1.2,G,p3,https://w3id.org/CMECS/CMECS_00000098,CMECS_00000098,Original Unit,,,
Geoform Component,Physiographic Setting,Borderland,,,CMECS Geoform Subcomponent: Setting ,"An area of the continental margin (between the shoreline and the continental slope) that is topographically more complex than the continental shelf. This feature is characterized by ridges and basins, some of which are below the depth of the continental shelf.",,1.1.2,G,p4,https://w3id.org/CMECS/CMECS_00000108,CMECS_00000108,Original Unit,,,
Geoform Component,Physiographic Setting,Continental/Island Rise,,,CMECS Geoform Subcomponent: Setting ,An area that lies at the deepest part of a continental or island margin between the continental slope and the abyssal plain. The rise is a gentle incline (with slopes of 0.5° to 1°) and it has generally smooth topography- although it may bear submarine canyons.,,1.1.2,G,p5,https://w3id.org/CMECS/CMECS_00001417,CMECS_00001417,Original Unit,,,
Geoform Component,Physiographic Setting,Continental/Island Shelf,,,CMECS Geoform Subcomponent: Setting ,"That part of the continental margin that is between the shoreline and the continental slope (or a depth or 200 meters when there is no noticeable continental slope); it is characterized by its very gentle slope of 0.1°. Island shelves are analogous to the continental shelves, but surround islands.",,1.1.2,G,p6,https://w3id.org/CMECS/CMECS_00001418,CMECS_00001418,Original Unit,,,
Geoform Component,Physiographic Setting,Continental/Island Shore Complex,,,CMECS Geoform Subcomponent: Setting ,"This feature includes the land-water interface zone and contains geoforms across a diversity of scales. For CMECS, the supratidal zone forms the landward limit of geoforms found within the shore complex setting. This setting does not include the land-water interface along tidal rivers that may extend a considerable distance inland.",,1.1.2,G,p7,https://w3id.org/CMECS/CMECS_00001419,CMECS_00001419,Original Unit,,,
Geoform Component,Physiographic Setting,Continental/Island Slope,,,CMECS Geoform Subcomponent: Setting ,"That part of the continental margin that is between the continental shelf and the continental rise (if there is one); it is characterized by its relatively steep slope of 1.5 - 6°. Island slopes are analogous to the continental slopes, but occur around islands.",,1.1.2,G,p8,https://w3id.org/CMECS/CMECS_00001420,CMECS_00001420,Original Unit,,,
Geoform Component,Physiographic Setting,Embayment/Bay,,,CMECS Geoform Subcomponent: Setting ,"A water body with some level of enclosure by land at different spatial scales. These can be wide, curving indentations in the coast, arms of the sea, or bodies of water almost surrounded by land. These features can be small- with considerable freshwater and terrestrial influence- or large and generally oceanic in character.",,1.1.2,G,p9,https://w3id.org/CMECS/CMECS_00001443,CMECS_00001443,Original Unit,,,
Geoform Component,Physiographic Setting,Fjord,,,CMECS Geoform Subcomponent: Setting ,"A long, narrow, glacially eroded inlet or arm of the sea. They are often U-shaped, steep-walled, and deep. Because of their depth, they tend to have low surface-area-to-volume ratios. They have moderate watershed-to-water-area ratios and low-to-moderate riverine inputs. Fjords often have a geologic sill formation at the seaward end caused by glacial action. This morphology- combined with a low exchange of bottom waters with the ocean- can result in formation of hypoxic bottom waters.",,1.1.2,G,p10,https://w3id.org/CMECS/CMECS_00000350,CMECS_00000350,Original Unit,,,
Geoform Component,Physiographic Setting,Inland/Enclosed Sea,,,CMECS Geoform Subcomponent: Setting ,"A large, water body almost completely surrounded by land. Salinities range from fresh through marine. The term inland is used to describe situations where the water body is connected to an adjacent large water body by a narrow strait, channel, canal, or river. Examples of this type of setting are the Mediterranean and Black Seas. The Great Lakes, due to their connectivity to the Atlantic Ocean via the St. Lawrence River also fall into this category.",,1.1.2,G,p11,https://w3id.org/CMECS/CMECS_00001484,CMECS_00001484,Original Unit,,,
Geoform Component,Physiographic Setting,Lagoonal Estuary,,,CMECS Geoform Subcomponent: Setting ,"This class of estuary tends to be shallow, highly enclosed, and have reduced exchange with the ocean. They often experience high evaporation, and they tend to be quiescent in terms of wind, current, and wave energy. Lagoonal estuaries usually have a very high surface-to-volume ratio, a low-to-moderate watershed-to-water-area ratio, and can have a high wetland-to-water ratio. The flushing times tend to be long relative to riverine estuaries and embayments because the restricted exchange with the marine-end member and the reduced river input lengthen residence times. As such, there tends to be more benthic-pelagic interaction, enhanced by generally shallow bathymetry. Additionally, exchange with surrounding landscapes (often riparian wetland and palustrine systems) tends to be enhanced and more highly coupled than in other types of estuaries.

Occasionally, a lagoon may be produced by the temporary sealing of a river estuary by a barrier. Such lagoons are usually seasonal and exist until the river breaches the barrier; these lagoons occur in regions of low or sporadic rainfall.",,1.1.2,G,p12,https://w3id.org/CMECS/CMECS_00000455,CMECS_00000455,Original Unit,,,
Geoform Component,Physiographic Setting,Major River Delta,,,CMECS Geoform Subcomponent: Setting ,"The nearly flat, alluvial tract of land at the mouth of a river, which commonly forms a triangular or fan-shaped plain. It is crossed by many distributaries, and the delta is the result of sediment accumulation from the river. Deltas are distinguished from alluvial fans by their flatter slope. Examples of this feature include the Mississippi Delta, the Nile Delta, and the Ganges Delta. All deltas are dynamic areas of mixed-water flow and salinity.",,1.1.2,G,p13,https://w3id.org/CMECS/CMECS_00000488,CMECS_00000488,Original Unit,,,
Geoform Component,Physiographic Setting,Marine Basin Floor,,,CMECS Geoform Subcomponent: Setting ,"Basin floors refer broadly to the areas of the seafloor between the base of the continental margin (usually the foot of the continental rise) and the mid-ocean ridge. Occasionally, this large region is subdivided into smaller basins based on local bathymetry.",,1.1.2,G,p14,https://w3id.org/CMECS/CMECS_00000491,CMECS_00000491,Original Unit,,,
Geoform Component,Physiographic Setting,Ocean Bank/Plateau,,,CMECS Geoform Subcomponent: Setting ,"A mound-like or ridge-like elevated area on the seafloor; it may have a modest-to-substantial extent. Although submerged, this feature can reach close to sea level (e.g., Bahama Banks).",,1.1.2,G,p15,https://w3id.org/CMECS/CMECS_00001532,CMECS_00001532,Original Unit,,,
Geoform Component,Physiographic Setting,Riverine Estuary,,,CMECS Geoform Subcomponent: Setting ,"This class of estuary tends to be linear and seasonally turbid (especially in upper reaches), and it can be subjected to high current speeds. These estuaries are sedimentary and depositional, so they may be associated with a delta, bar, barrier island, and other depositional features. These estuaries also tend to be highly flushed (with a wide and variable salinity range) and seasonally stratified. Riverine estuaries have moderate surface-to-volume ratios with a high watershed-to-water-area ratio- and they can have very high wetland-to-water-area ratios as well. These estuaries are often characterized by a V-shaped channel configuration and a salt wedge.

High inputs of land drainage can promote increased primary productivity, which may be confined to the water column in the upper reach, due to low transparency in the water column. Surrounding wetlands may be extensive and healthy, given the sediment supply and nutrient input. This marsh perimeter may be important in taking up the excess nutrients that are introduced to the system. Physically, the system may tend to be stratified during periods of high riverine input, and the input of marine waters may be enhanced by countercurrent flow.",,1.1.2,G,p16,https://w3id.org/CMECS/CMECS_00000682,CMECS_00000682,Original Unit,,,
Geoform Component,Physiographic Setting,Shelf Basin,,,CMECS Geoform Subcomponent: Setting ,Basins occurring on the continental shelf formed by offshore faulting activity.,,1.1.2,G,p17,https://w3id.org/CMECS/CMECS_00000740,CMECS_00000740,Original Unit,,,
Geoform Component,Physiographic Setting,Shelf Break,,,CMECS Geoform Subcomponent: Setting ,The slope discontinuity (rapid change in gradient) of 3° or greater that occurs at the outer edge of the continental shelf. This boundary generally occurs at a depth between 100-200 meters and forms the boundary between the Marine Offshore and Oceanic Subsystems.,,1.1.2,G,p18,https://w3id.org/CMECS/CMECS_00000741,CMECS_00000741,Original Unit,,,
Geoform Component,Physiographic Setting,Sound,,,CMECS Geoform Subcomponent: Setting ,"(a) A relatively long, narrow waterway connecting two larger bodies of water (or two parts of the same water body), or an arm of the sea forming a channel between the mainland and an island (e.g., Puget Sound, WA). A sound is generally wider and more extensive than a strait. (b) A long, large, rather broad inlet of the ocean, which generally extends parallel to the coast (e.g., Long Island Sound, NY).",,1.1.2,G,p19,https://w3id.org/CMECS/CMECS_00000778,CMECS_00000778,Original Unit,,,
Geoform Component,Physiographic Setting,Submarine Canyon,,,CMECS Geoform Subcomponent: Setting ,"A general term for all linear, steep-sided valleys on the seafloor. These canyons can be associated with terrestrial or nearshore river inputs, such as in the Hudson or Mississippi canyons.",,1.1.2,G,p20,https://w3id.org/CMECS/CMECS_00000800,CMECS_00000800,Original Unit,,,
Geoform Component,Physiographic Setting,Trench,,,CMECS Geoform Subcomponent: Setting ,"Trenches in the physiographic setting subcomponent occur at a smaller spatial scale than the hemispheric-sized trenches in the tectonic setting. Both types of trenches share similar morphology, but physiographic setting Trenches are not necessarily associated with plate subduction.",,1.1.2,G,p21,https://w3id.org/CMECS/CMECS_00000852,CMECS_00000852,Original Unit,,,
Geoform Component,Geoform,,,,CMECS Geoform Subcomponent,"Geoforms are physical, coastal and seafloor structures that are generally no larger than hundreds of square kilometers in size. This size determination may be an areal extent or a linear distance. Larger geoforms (Level 1) are generally larger than one square kilometer, and correspond to Megahabitats in the Greene et al. classification system (2007). These features can be defined using geologic or geomorphic maps and bathymetric images of the seafloor at map scales of 1:250,000 or less. Smaller geoforms (Level 2) are generally less than one square kilometer in size (or less than 1 kilometer in distance); and correspond to Meso-and Macro-habitats in the Greene et al. system. Level 2 geoforms (such as individual coral reefs, tide pools, and sand wave fields) can be identified through in-situ observational methods (such as underwater videography) or through low-altitude, high-resolution optical or acoustic remote sensing.
Level 1 and Level 2 geoforms are arranged as two separate subcomponents so that they can be used in tandem to describe complex spatial patterns of geoform structures. Level 2 geoforms normally occur as portions of—or smaller features contained (nesting) within— Level 1 geoforms, but are not hierarchically constrained by the Level 1 geoforms. It is possible for geoforms at either level to nest within other units within their same level (for example, a Level 2 pockmark may occur within a Level 2 shoal/bar as in Figure 6.1 below). Although Level 1 and Level 2 geoforms are considered different subcomponents because of their scale differences, they share the same hierarchical structure and some units are found in both levels (if they occur over a broad range of sizes). For brevity, we have combined the definitions of these units into one listing and have indicated the subcomponent(s) in which they reside.
Geoform types are varieties of geoforms that provide further information on morphology and physical processes underway at any individual geoform. Users are encouraged to apply the Type designations where applicable—but they are not required to use it if their data do not support this level of detail. Users are also encouraged to provide the full nesting (recording of upper-level attributes) for any geoforms they identify, although there will be many instances where this is not practical.","Greene, H. G., J. J. Bizzarro, V. M. O’Connell, and C. K. Brylinsky. 2007. “Construction of Digital Potential Marine Benthic Habitat Maps Using a Coded Classification Scheme and Its Applications.” In Mapping the Seafloor for Habitat Characterization, 141–155. Special Paper 47. Edited by B. J. Todd and H. G. Greene. Geological Association of Canada.",1.1.2,G,g,https://w3id.org/CMECS/CMECS_00000386,CMECS_00000386,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,,,CMECS Geoform Subcomponent: Origin,"Geologic geoforms are formed by the abiotic processes of uplift, erosion, volcanism, deposition, fluid seepage, and material movement. Uplift may be a result of local and regional seismic and tectonic processes. Waves, currents, wind, chemical dissolution, seismic motion, and chemical precipitation all contribute to these geoforms and give them their distinctive qualities.",,1.1.2,G,g1,https://w3id.org/CMECS/CMECS_00000388,CMECS_00000388,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Apron,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1),"An extensive, subaqueous, blanket-like deposit of alluvial, unconsolidated material that is derived from an identifiable source and deposited at the base of a mountain or seamount.",,1.1.2,G,g1.1,https://w3id.org/CMECS/CMECS_00000031,CMECS_00000031,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Bank,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1),"An elevated area above the surrounding seafloor that rises near the surface. Banks generally are low-relief features, of modest-to-substantial extent, that normally remain submerged. They may have a variety of shapes and may show signs of erosion resulting from exposure during periods of lower sea level. Banks tend to occur on the continental shelf. Banks differ from shoals in having greater size and temporal persistence. The Geoform Bank differs from the Coral Reef Zone modifier Bank based on its geologic origin.",,1.1.2,G,g1.2,https://w3id.org/CMECS/CMECS_00000076,CMECS_00000076,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Bar,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1 or Level 2),"A relatively shallow place (in a stream, lake, sea, or other body of water) that is typically a submerged ridge, or bank consisting of (or covered) by sand or other unconsolidated material- but may also be composed of rock or other material (modified from Jackson 1997).","Bates, R. L., and J. A. Jackson, eds. 1984. Dictionary of Geological Terms. 3rd ed. Garden City, NY: Anchor Press",1.1.2,G,g1.3,https://w3id.org/CMECS/CMECS_00000077,CMECS_00000077,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Bar,Bay Mouth Bar,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 1),"A bar of sand or gravel extending partially or entirely across the mouth of a bay. It usually connects two headlands, thus straightening the coast.",,1.1.2,G,g1.3.1,https://w3id.org/CMECS/CMECS_00000088,CMECS_00000088,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Bar,Longshore Bar,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 1),"A low sand ridge, built chiefly by wave action, occurring at some distance from and generally parallel with the shoreline, being submerged at least by high tides, and typically separated from the beach by an intervening trough.",,1.1.2,G,g1.3.2,https://w3id.org/CMECS/CMECS_00000478,CMECS_00000478,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Bar,Point Bar,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 2),"Low, arcuate, subaerial ridges of sand developed adjacent to an inlet and formed by the lateral accretion or movement of the channel.",,1.1.2,G,g1.3.3,https://w3id.org/CMECS/CMECS_00000654,CMECS_00000654,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Bar,Relict Longshore Bar,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 2),"A narrow, elongate, coarse-textured ridge that once rose near to, or barely above, a pluvial or glacial lake or other body of water and extended generally parallel to the shore but was separated from it by an intervening trough or lagoon; both the bar and lagoon are now relict features (Jackson 1997).","Jackson, J. A., ed. 1997. Glossary of Geology. Alexandria, VA: American Geological Institute.",1.1.2,G,g1.3.4,https://w3id.org/CMECS/CMECS_00000668,CMECS_00000668,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Basin,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1),General term for an area of the seafloor or land surface that lies below the surrounding bottom or terrain elevation. They are normally areas of low relief.,,1.1.2,G,g1.4,https://w3id.org/CMECS/CMECS_00000084,CMECS_00000084,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1 or Level 2),"A gently sloping zone formed by unconsolidated material at the shoreline, typically with a concave profile. This zone extends landward from the low-water line to either (a) the place where there is a definite change in material or physiographic form (such as a cliff) or (b) the line of permanent vegetation. Only those portions of the beach within the splash zone would be within the CMECS system; areas of the beach further inland are terrestrial systems.",,1.1.2,G,g1.5,https://w3id.org/CMECS/CMECS_00000089,CMECS_00000089,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach,Barrier Beach,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 1 or Level 2),"A narrow, elongate, coarse-textured, intertidal, sloping landform that is generally parallel with the beach ridge component of the barrier island (or a spit), and which is adjacent to the ocean (Jackson 1997; Peterson 1981).","Jackson, J. A., ed. 1997. Glossary of Geology. Alexandria, VA: American Geological Institute.|Peterson, F. F. 1981. Landforms of the Basin and Range Province Defined for Soil Survey. Technical Bulletin No. 28. Reno, NV: Nevada Agricultural Experiment Station.",1.1.2,G,g1.5.1,https://w3id.org/CMECS/CMECS_00000079,CMECS_00000079,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach,Mainland Beach,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 1 or Level 2),"Any beach that is connected to the mainland, whether fronting bluffs, dunes, or extensive marshes.",,1.1.2,G,g1.5.2,https://w3id.org/CMECS/CMECS_00000486,CMECS_00000486,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach,Pocket Beach,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 2),"A small beach between two headlands. Because of this isolation, there is very little- or no- exchange of sediment between the pocket beach and the adjacent shorelines.",,1.1.2,G,g1.5.3,https://w3id.org/CMECS/CMECS_00000651,CMECS_00000651,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach,Tide-Modified Beach,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 1 or Level 2),"Beaches that occur in areas of high tide range (3-15 times the wave height) and usually lower waves (less than 0.3 meter). Tide-modified beaches include reflective beaches with a low-tide terrace, reflective beaches with bars and rips, and ultra dissipative beaches.",,1.1.2,G,g1.5.4,https://w3id.org/CMECS/CMECS_00000838,CMECS_00000838,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach,Tide-Dominated Beach,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 1 or Level 2),"Beaches that occur in areas of high tide range (10-15 times the wave height) and usually lower waves; wave height is very low. Tide-dominated beaches include reflective beaches with sand ridges, reflective beaches with sand flats, reflective beaches with tidal sand flats, reflective beaches with tidal mud flats, and reflective beaches with rock flats.",,1.1.2,G,g1.5.5,https://w3id.org/CMECS/CMECS_00000837,CMECS_00000837,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach,Wave-Dominated Beach,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 1 or Level 2),"Beaches that are exposed to persistent ocean swell, waves, and low tides (range of less than 2 meters). Wave-dominated beaches include reflective beaches, intermediate beaches, and dissipative beaches (Short 2006).","Short, A.D. 2006. “Australian Beach Systems—Nature and Distribution.” Journal of Coastal Research 22(1): 11-27.",1.1.2,G,g1.5.6,https://w3id.org/CMECS/CMECS_00000902,CMECS_00000902,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Beach Berm,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1 or Level 2),The natural bench or platform lying below the main beach slope and above the foreshore.,,1.1.2,G,g1.6,https://w3id.org/CMECS/CMECS_00000090,CMECS_00000090,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Boulder Field,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1),"An area dominated by large, boulder-sized (256 millimeters - 4,096 millimeters) stones or pieces of rock. These can occur below cliffs or at the foot of steep slopes or canyons, where they are the result of depositional processes. These fields can also occur as the result of currents that have removed the finer sediments.",,1.1.2,G,g1.7,https://w3id.org/CMECS/CMECS_00000110,CMECS_00000110,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Cave,,CMECS Geoform Subcomponent: Geologic Geoform (Level 2),A natural passage extending beneath the earth's surface.,,1.1.2,G,g1.8,https://w3id.org/CMECS/CMECS_00000136,CMECS_00000136,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Channel,,CMECS Geoform Subcomponent: Geologic Geoform (Level 1 or Level 2),"A general term for a linear or sinuous depression on an otherwise more flat area (for example, a valley- or groove-like feature through which water flows). This is a very broad term that is often used in connection with other terms to provide more meaning.",,1.1.2,G,g1.9,https://w3id.org/CMECS/CMECS_00000142,CMECS_00000142,Original Unit,,,
Geoform Component,Geoform,Geologic Geoform,Channel,Pass/Lagoon Channel,CMECS Geoform Subcomponent: Geologic Geoform Type (Level 2),"A generally narrow passage way, open on both ends, through a shoal. In coral reef settings this feature connects the lagoon with the open ocean or bay.",,1.1.2,G,g1.9.1,https://w3id.org/CMECS/CMECS_00001543,CMECS_00001543,Original Unit,,,
