(Level 1),(Level 2),(Level 3),(Level 4),(Level 5),(Level 6),Unit Type,Definition,Literature Cited,CMECS Version,Component Code,Unit Code,IRI (NCEI base URL + Term ID),Unit ID,Unit Status,Type of Change,Implementation Guidance,Notes
Obsolete,Biogenic Substrate,Shell Substrate,Shell Reef Substrate,Clam Reef Substrate,,CMECS Substrate Component: Substrate Group,Shell Reef that is primarily composed of cemented or conglomerated clam shells.,,1.1.2,S,2.5.1.1,https://w3id.org/CMECS/CMECS_00000158,CMECS_00000158,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Shell Substrate,Shell Rubble,Clam Rubble,,CMECS Substrate Component: Substrate Group,"Shell Rubble (with a median particle size of 64 millimeters to < 4,096 millimeters) that is primarily composed of cemented or conglomerated clam shells.",,1.1.2,S,2.5.2.1,https://w3id.org/CMECS/CMECS_00000159,CMECS_00000159,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Shell Substrate,Shell Hash,Clam Hash,,CMECS Substrate Component: Substrate Group,Shell Hash (with a median particle size of 2 millimeters to < 64 millimeters) that is primarily composed of loose clam shells and shell bits.,,1.1.2,S,2.5.3.1,https://w3id.org/CMECS/CMECS_00000157,CMECS_00000157,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Worm Substrate,,,,CMECS Substrate Component: Substrate Class,Biogenic Substrates that are primarily composed of the cemented or conglomerated calcareous or sandy tubes of polychaetes or other worm-like fauna. Living or non-living worm-tube reefs or worm-tube particles constitute the dominant benthic substrate. The presence of Worm Substrate is noted in this class (and in the following subclasses and groups). The presence of living organisms is described in the BC.,,1.1.2,S,2.6,https://w3id.org/CMECS/CMECS_00000919,CMECS_00000919,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Worm Substrate,Sabellariid Substrate,,,CMECS Substrate Component: Substrate Subclass,"Biogenic substrate layers with conglomerated structures or smaller particles that are primarily composed of sand and shell bits cemented with adhesive proteins into cohesive, clustered tubes by sabellariid worms (e.g., <Sabellaria> or <Phragmatopoma>).",,1.1.2,S,2.6.1,https://w3id.org/CMECS/CMECS_00000692,CMECS_00000692,Deprecated Unit,,,
Obsolete,Biogenic Substrate,Worm Substrate,Serpulid Substrate,,,CMECS Substrate Component: Substrate Subclass,"Biogenic substrate layers with conglomerated structures or broken particles that are primarily composed of cemented calcareous worm tubes produced by serpulid worms, e.g., Serpula.",,1.1.2,S,2.6.2,https://w3id.org/CMECS/CMECS_00000734,CMECS_00000734,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Anthropogenic Rock,,,,CMECS Substrate Component: Substrate Class,"Anthropogenic Substrate that is primarily composed of natural mineral materials that were purposefully or accidentally deposited by humans. This includes breakwaters made of natural stone, dredge material, artificial reefs made of natural stone, as well as beach nourishment and beach fill. Shape for this substrate class is covered in the GC (e.g., Groin, Breakwater, and Dredge Deposit). If the origin of a feature cannot be determined, it is assumed to be of natural origin and classified in the Geologic or Biogenic Substrate Origin.",,1.1.2,S,3.1,https://w3id.org/CMECS/CMECS_00000018,CMECS_00000018,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Anthropogenic Rock,Anthropogenic Rock Reef Substrate,,,CMECS Substrate Component: Substrate Subclass,"Substrate that is dominated by Anthropogenic Rock with a median particle size of 4,096 millimeters or greater in any dimension.",,1.1.2,S,3.1.1,https://w3id.org/CMECS/CMECS_00000021,CMECS_00000021,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Anthropogenic Rock,Anthropogenic Rock Rubble,,,CMECS Substrate Component: Substrate Subclass,"Substrate that is dominated by Anthropogenic Rock with a median particle size of 64 millimeters to < 4,096 millimeters (Cobbles and Boulders).",,1.1.2,S,3.1.2,https://w3id.org/CMECS/CMECS_00000022,CMECS_00000022,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Anthropogenic Rock,Anthropogenic Rock Hash,,,CMECS Substrate Component: Substrate Subclass,Substrate that is dominated by Anthropogenic Rock with a median particle size of 2 millimeters to < 64 millimeters (Granules and Pebbles).,,1.1.2,S,3.1.3,https://w3id.org/CMECS/CMECS_00000019,CMECS_00000019,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Anthropogenic Rock,Anthropogenic Rock Sand,,,CMECS Substrate Component: Substrate Subclass,Substrate that is dominated by Anthropogenic Rock with a median particle size of 0.0625 millimeters to < 2 millimeters.,,1.1.2,S,3.1.4,https://w3id.org/CMECS/CMECS_00000023,CMECS_00000023,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Anthropogenic Rock,Anthropogenic Rock Mud,,,CMECS Substrate Component: Substrate Subclass,Substrate that is dominated by Anthropogenic Rock (mineral particles) with a median particle size of less than 0.0625 millimeters.,,1.1.2,S,3.1.5,https://w3id.org/CMECS/CMECS_00000020,CMECS_00000020,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Anthropogenic Wood,,,,CMECS Substrate Component: Substrate Class,"Anthropogenic Substrate that is primarily composed of woody materials that were processed or assembled by humans. Shape for this substrate class is covered in the GC (e.g., Jetty, Dolphin, Pilings, and Wreck).",,1.1.2,S,3.2,https://w3id.org/CMECS/CMECS_00000026,CMECS_00000026,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Construction Materials,,,,CMECS Substrate Component: Substrate Class,"Anthropogenic Substrate that is composed of any single construction material or combination of construction materials (concrete, brick, rebar, pipe, porcelain, fiberglass, rubber, plastic, < 50% wood, < 50% metal, etc.) that were manufactured by humans. This substrate may be composed of one or many types of these materials. If anthropogenic wood or metal constitute a dominant fraction of the materials, the substrate is classified as Anthropogenic Wood or Metal, accordingly. Shape for this substrate class is covered in the GC (e.g., Breakwater, Wreck (if fiberglass, ferrocement, etc.).",,1.1.2,S,3.3,https://w3id.org/CMECS/CMECS_00000185,CMECS_00000185,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Metal,,,,CMECS Substrate Component: Substrate Class,"Anthropogenic Substrate that is dominantly composed of metal that was manufactured by humans. Shape for this substrate class is covered in the GC (e.g., Cable Area, Wreck [if metal]).",,1.1.2,S,3.4,https://w3id.org/CMECS/CMECS_00000537,CMECS_00000537,Deprecated Unit,,,
Obsolete,Anthropogenic Substrate,Trash,,,,CMECS Substrate Component: Substrate Class,"Anthropogenic Substrate that is usually composed primarily of plastics but may include other trash materials (waxed paper, paper, < 50% metal, rubber, glass, cardboard, tires) that were manufactured by humans.",,1.1.2,S,3.5,https://w3id.org/CMECS/CMECS_00000846,CMECS_00000846,Deprecated Unit,,,
